country,year,sex,age,population,suicides_100k_pop,HDI,gdp_per_capita
Albania,1987,male,15-24 years,312900,6.711409395973154,,796
Albania,1987,male,35-54 years,308000,5.194805194805195,,796
Albania,1987,female,15-24 years,289700,4.8325854332067655,,796
Albania,1987,male,75+ years,21800,4.587155963302752,,796
Albania,1987,male,25-34 years,274300,3.2810791104629966,,796
Albania,1987,female,75+ years,35600,2.808988764044944,,796
Albania,1987,female,35-54 years,278800,2.1520803443328553,,796
Albania,1987,female,25-34 years,257200,1.5552099533437014,,796
Albania,1987,male,55-74 years,137500,0.7272727272727272,,796
Albania,1987,female,5-14 years,311000,0.0,,796
Albania,1987,female,55-74 years,144600,0.0,,796
Albania,1987,male,5-14 years,338200,0.0,,796
Albania,1988,female,75+ years,36400,5.4945054945054945,,769
Albania,1988,male,15-24 years,319200,5.325814536340852,,769
Albania,1988,male,75+ years,22300,4.484304932735426,,769
Albania,1988,male,35-54 years,314100,4.457179242279529,,769
Albania,1988,male,55-74 years,140200,2.8530670470756063,,769
Albania,1988,female,15-24 years,295600,2.706359945872801,,769
Albania,1988,female,55-74 years,147500,2.0338983050847457,,769
Albania,1988,female,25-34 years,262400,1.9054878048780488,,769
Albania,1988,male,25-34 years,279900,1.7863522686673812,,769
Albania,1988,female,35-54 years,284500,1.40597539543058,,769
Albania,1988,female,5-14 years,317200,0.0,,769
Albania,1988,male,5-14 years,345000,0.0,,769
Albania,1989,male,75+ years,22500,8.88888888888889,,833
Albania,1989,male,25-34 years,283600,6.346967559943582,,833
Albania,1989,male,35-54 years,318400,4.711055276381909,,833
Albania,1989,male,55-74 years,142100,4.2223786066150595,,833
Albania,1989,male,15-24 years,323500,3.7094281298299845,,833
Albania,1989,female,35-54 years,288600,2.4255024255024256,,833
Albania,1989,female,15-24 years,299900,1.6672224074691564,,833
Albania,1989,female,25-34 years,266300,0.7510326699211416,,833
Albania,1989,female,55-74 years,149600,0.6684491978609626,,833
Albania,1989,female,5-14 years,321900,0.0,,833
Albania,1989,female,75+ years,37000,0.0,,833
Albania,1989,male,5-14 years,349700,0.0,,833
Albania,1992,male,35-54 years,343800,3.4904013961605584,,251
Albania,1992,male,15-24 years,263700,3.4129692832764507,,251
Albania,1992,male,55-74 years,159500,3.134796238244514,,251
Albania,1992,male,25-34 years,245500,2.8513238289205702,,251
Albania,1992,female,15-24 years,292400,2.3939808481532148,,251
Albania,1992,female,25-34 years,267400,1.4958863126402393,,251
Albania,1992,female,35-54 years,323100,0.6190034045187248,,251
Albania,1992,female,55-74 years,164900,0.6064281382656155,,251
Albania,1992,female,5-14 years,336700,0.0,,251
Albania,1992,female,75+ years,38700,0.0,,251
Albania,1992,male,5-14 years,362900,0.0,,251
Albania,1992,male,75+ years,23900,0.0,,251
Albania,1993,male,15-24 years,243300,7.398273736128237,,437
Albania,1993,male,55-74 years,165000,4.242424242424242,,437
Albania,1993,male,75+ years,24200,4.132231404958678,,437
Albania,1993,male,25-34 years,230100,3.911342894393742,,437
Albania,1993,female,15-24 years,285300,3.505082369435682,,437
Albania,1993,male,35-54 years,350300,2.8546959748786755,,437
Albania,1993,female,25-34 years,261800,2.6737967914438503,,437
Albania,1993,female,35-54 years,331200,2.1135265700483092,,437
Albania,1993,female,55-74 years,169500,1.1799410029498525,,437
Albania,1993,female,5-14 years,340300,0.2938583602703497,,437
Albania,1993,male,5-14 years,367000,0.2724795640326976,,437
Albania,1993,female,75+ years,39300,0.0,,437
Albania,1994,male,75+ years,24600,8.130081300813009,,697
Albania,1994,male,55-74 years,171400,6.417736289381563,,697
Albania,1994,female,75+ years,39900,5.012531328320803,,697
Albania,1994,male,25-34 years,231400,2.592912705272256,,697
Albania,1994,male,35-54 years,362800,2.4807056229327453,,697
Albania,1994,male,15-24 years,242200,2.477291494632535,,697
Albania,1994,female,15-24 years,282600,2.1231422505307855,,697
Albania,1994,female,25-34 years,261100,1.5319800842589044,,697
Albania,1994,female,35-54 years,342500,0.5839416058394161,,697
Albania,1994,female,55-74 years,174600,0.572737686139748,,697
Albania,1994,male,5-14 years,371800,0.2689618074233459,,697
Albania,1994,female,5-14 years,344400,0.0,,697
Albania,1995,male,25-34 years,232900,5.5817947617003005,0.619,835
Albania,1995,male,55-74 years,178000,5.056179775280899,0.619,835
Albania,1995,female,75+ years,40800,4.901960784313725,0.619,835
Albania,1995,female,15-24 years,283500,4.585537918871252,0.619,835
Albania,1995,male,15-24 years,241200,4.560530679933665,0.619,835
Albania,1995,male,75+ years,25100,3.9840637450199203,0.619,835
Albania,1995,male,35-54 years,375900,3.7243947858473,0.619,835
Albania,1995,female,25-34 years,264000,2.6515151515151514,0.619,835
Albania,1995,female,35-54 years,356400,2.244668911335578,0.619,835
Albania,1995,male,5-14 years,376500,1.593625498007968,0.619,835
Albania,1995,female,55-74 years,180400,1.1086474501108647,0.619,835
Albania,1995,female,5-14 years,348700,0.5735589331803843,0.619,835
Albania,1996,male,75+ years,25400,7.874015748031495,,1127
Albania,1996,male,15-24 years,243600,6.9786535303776684,,1127
Albania,1996,male,25-34 years,235300,5.949851253718657,,1127
